pixel,reflectance1,reflectance2,absorption1,absorption2,m
1,7.03E-05,9.67E-07,,,
2,6.81E-05,1.01E-06,,,
3,6.59E-05,1.11E-06,,,
4,6.37E-05,1.09E-06,,,
5,6.16E-05,1.16E-06,,,
6,5.93E-05,1.16E-06,,,
7,5.74E-05,1.14E-06,,,
8,5.54E-05,1.28E-06,,,
9,5.32E-05,1.24E-06,,,
10,5.14E-05,1.30E-06,,,
11,4.98E-05,1.31E-06,,,
12,4.78E-05,1.30E-06,,,
13,4.61E-05,1.38E-06,,,
14,4.45E-05,1.38E-06,,,
15,4.29E-05,1.45E-06,,,
16,4.13E-05,1.54E-06,,,
17,3.99E-05,1.53E-06,,,
18,3.86E-05,1.60E-06,,,
19,3.73E-05,1.64E-06,,,
20,3.59E-05,1.64E-06,,,
21,3.48E-05,1.71E-06,,,
22,3.35E-05,1.81E-06,,,
23,3.23E-05,1.83E-06,,,
24,3.13E-05,1.83E-06,,,
25,3.01E-05,1.90E-06,,,
26,2.92E-05,1.96E-06,,,
27,2.82E-05,1.98E-06,,,
28,2.72E-05,2.05E-06,,,
29,2.65E-05,2.15E-06,,,
30,2.57E-05,2.23E-06,,,
31,2.47E-05,2.26E-06,,,
32,2.39E-05,2.37E-06,,,
33,2.31E-05,2.37E-06,,,
34,2.23E-05,2.41E-06,,,
35,2.19E-05,2.59E-06,,,
36,2.09E-05,2.60E-06,,,
37,2.03E-05,2.67E-06,,,
38,1.98E-05,2.80E-06,,,
39,1.95E-05,2.86E-06,,,
40,1.83E-05,2.88E-06,,,
41,1.78E-05,2.91E-06,,,
42,1.73E-05,3.04E-06,,,
43,1.66E-05,3.09E-06,,,
44,1.62E-05,3.21E-06,,,
45,1.57E-05,3.32E-06,,,
46,1.51E-05,3.33E-06,,,
47,1.48E-05,3.47E-06,,,
48,1.43E-05,3.55E-06,,,
49,1.39E-05,3.73E-06,,,
50,1.34E-05,3.86E-06,,,
51,1.32E-05,4.00E-06,,,
52,1.26E-05,3.97E-06,,,
53,1.23E-05,4.20E-06,,,
54,1.20E-05,4.30E-06,,,
55,1.16E-05,4.38E-06,,,
56,1.12E-05,4.59E-06,,,
57,1.09E-05,4.65E-06,,,
58,1.05E-05,4.90E-06,,,
59,1.02E-05,4.99E-06,,,
60,9.97E-06,5.11E-06,,,
61,9.62E-06,5.16E-06,,,
62,9.37E-06,5.41E-06,,,
63,9.16E-06,5.65E-06,,,
64,8.85E-06,5.68E-06,,,
65,8.62E-06,5.90E-06,,,
66,8.26E-06,6.10E-06,,,
67,8.08E-06,6.34E-06,,,
68,7.75E-06,6.25E-06,,,
69,7.63E-06,6.61E-06,,,
70,7.41E-06,6.75E-06,,,
71,7.11E-06,7.05E-06,,,
72,6.91E-06,7.10E-06,,,
73,6.77E-06,7.46E-06,,,
74,6.61E-06,7.69E-06,,,
75,6.33E-06,7.86E-06,,,
76,6.08E-06,8.00E-06,,,
77,6.05E-06,8.48E-06,,,
78,5.81E-06,8.63E-06,,,
79,5.73E-06,8.83E-06,,,
80,5.52E-06,9.16E-06,,,
81,5.34E-06,9.40E-06,,,
82,5.24E-06,9.70E-06,,,
83,4.96E-06,1.00E-05,,,
84,4.97E-06,1.03E-05,,,
85,4.80E-06,1.07E-05,,,
86,4.61E-06,1.11E-05,,,
87,4.41E-06,1.12E-05,,,
88,4.34E-06,1.18E-05,,,
89,4.32E-06,1.21E-05,,,
90,4.11E-06,1.26E-05,,,
91,4.05E-06,1.29E-05,,,
92,3.98E-06,1.32E-05,,,
93,3.88E-06,1.38E-05,,,
94,3.67E-06,1.41E-05,,,
95,3.61E-06,1.47E-05,,,
96,3.56E-06,1.51E-05,,,
97,3.46E-06,1.57E-05,,,
98,3.38E-06,1.64E-05,,,
99,3.26E-06,1.69E-05,,,
100,3.16E-06,1.73E-05,,,
101,3.07E-06,1.79E-05,,,
102,3.06E-06,1.84E-05,,,
103,2.95E-06,1.92E-05,,,
104,2.87E-06,1.97E-05,,,
105,2.70E-06,2.05E-05,,,
106,2.69E-06,2.12E-05,,,
107,2.69E-06,2.21E-05,,,
108,2.58E-06,2.29E-05,,,
109,2.51E-06,2.36E-05,,,
110,2.52E-06,2.46E-05,,,
111,2.40E-06,2.56E-05,,,
112,2.36E-06,2.65E-05,,,
113,2.29E-06,2.75E-05,,,
114,2.27E-06,2.85E-05,,,
115,2.14E-06,2.94E-05,,,
116,2.18E-06,3.08E-05,,,
117,2.06E-06,3.18E-05,,,
118,2.00E-06,3.32E-05,,,
119,1.98E-06,3.43E-05,,,
120,1.95E-06,3.55E-05,,,
121,1.85E-06,3.66E-05,,,
122,1.80E-06,3.83E-05,,,
123,1.76E-06,3.99E-05,,,
124,1.76E-06,4.12E-05,,,
125,1.67E-06,4.27E-05,,,
126,1.66E-06,4.41E-05,,,
127,1.61E-06,4.57E-05,,,
128,1.62E-06,4.73E-05,,,
